device_id,org_id,os,arch,current_version,ring
dev-dc2fd2,org-12,windows,amd64,v2.98.0,broad
dev-32deef,org-09,macos,arm64,v2.97.0,canary
dev-220ca4,org-05,macos,amd64,v2.98.0,broad
dev-ed3e51,org-11,windows,amd64,v2.99.0,broad
dev-dc16d3,org-11,windows,amd64,v2.98.0,broad
dev-1ebaf3,org-11,linux,amd64,v2.98.0,broad
dev-2a90ea,org-01,macos,arm64,v2.97.0,broad
dev-46249a,org-06,macos,arm64,v2.98.0,broad
dev-fe6960,org-04,windows,amd64,v2.99.0,canary
dev-2c7e9d,org-03,macos,arm64,v2.98.0,early
dev-7e5dee,org-02,macos,arm64,v2.98.0,broad
dev-128c23,org-04,macos,amd64,v2.99.0,broad
dev-a53f1f,org-11,linux,amd64,v2.98.0,broad
dev-77e6d1,org-08,windows,amd64,v2.96.0,early
dev-d3a95c,org-02,macos,arm64,v2.100.0,canary
dev-885fb8,org-05,macos,arm64,v2.98.0,broad
dev-83b1ad,org-07,macos,arm64,v2.96.0,broad
dev-890734,org-12,windows,amd64,v2.99.0,broad
dev-0e092a,org-01,windows,amd64,v2.98.0,broad
dev-326d16,org-05,macos,arm64,v2.98.0,broad
dev-2eeb93,org-06,windows,amd64,v2.97.0,broad
dev-c99b96,org-05,macos,arm64,v2.95.0,early
dev-c4725d,org-04,macos,arm64,v2.99.0,early
dev-fa8956,org-07,macos,arm64,v2.98.0,broad
dev-443998,org-05,windows,amd64,v2.98.0,canary
dev-663d50,org-01,linux,amd64,v2.99.0,broad
dev-221fe0,org-07,macos,arm64,v2.96.0,broad
dev-866015,org-01,macos,arm64,v2.99.0,broad
dev-8b840d,org-08,macos,arm64,v2.98.0,early
dev-c5f49d,org-04,macos,arm64,v2.98.0,early
dev-a9b7d6,org-08,windows,amd64,v2.99.0,broad
dev-75afda,org-04,windows,amd64,v2.98.0,broad
dev-cdb4d4,org-02,macos,arm64,v2.99.0,broad
dev-c107b9,org-12,windows,amd64,v2.99.0,canary
dev-4ab0dd,org-08,macos,arm64,v2.94.0,broad
dev-a2b9f0,org-08,macos,amd64,v2.98.0,early
dev-93049d,org-07,windows,amd64,v2.96.0,early
dev-6a53df,org-01,linux,amd64,v2.98.0,broad
dev-f06718,org-06,macos,arm64,v2.98.0,early
dev-b7f781,org-04,macos,arm64,v2.97.0,early
dev-b77854,org-12,windows,amd64,v2.97.0,early
dev-1ab893,org-01,macos,amd64,v2.98.0,early
dev-a147f6,org-03,linux,armv6,v2.98.0,broad
dev-e1ffe2,org-08,macos,arm64,v2.96.0,broad
dev-83e1e3,org-09,linux,amd64,v2.99.0,broad
dev-418a5b,org-10,windows,amd64,v2.96.0,canary
dev-7bbbf0,org-10,macos,amd64,v2.99.0,broad
dev-8d8439,org-03,windows,amd64,2.99.0,early
dev-cab93d,org-06,macos,arm64,v2.98.0,broad
dev-8c5f4c,org-12,windows,amd64,v2.98.0,broad
dev-6e69a0,org-12,macos,arm64,v2.98.0,broad
dev-c6ddcc,org-08,windows,amd64,v2.98.0,broad
dev-9b8053,org-10,macos,amd64,v2.94.0,broad
dev-dbb7fb,org-11,windows,amd64,v2.98.0,broad
dev-13e00e,org-01,macos,arm64,v2.97.0,broad
dev-07bc39,org-08,windows,amd64,v2.98.0,broad
dev-5a55db,org-10,windows,amd64,v2.98.0,early
dev-96314a,org-09,linux,amd64,v2.97.0,broad
dev-81d641,org-04,macos,amd64,v2.99.0,broad
dev-6cf907,org-08,windows,amd64,v2.94.0,early
dev-e9bdc3,org-06,windows,amd64,v2.99.0,broad
dev-612b47,org-07,windows,arm64,v2.99.0,canary
dev-7d011c,org-11,macos,amd64,v2.99.0,broad
dev-3ea3bb,org-07,macos,arm64,v2.98.0,early
dev-1453bd,org-05,windows,386,v2.99.0,broad
dev-7c45ae,org-02,macos,arm64,v2.96.0,broad
dev-db736c,org-02,macos,amd64,v2.99.0,broad
dev-508450,org-10,macos,arm64,v2.101.0,early
dev-58260d,org-05,macos,arm64,v2.99.0,broad
dev-eec3ec,org-03,macos,amd64,v2.97.0,broad
dev-2b8ebe,org-08,linux,amd64,v2.95.0,broad
dev-6f3ff1,org-06,macos,arm64,v2.97.0,broad
dev-47381e,org-10,linux,amd64,v2.97.0,broad
dev-b252c3,org-08,macos,arm64,v2.99.0,broad
dev-4a9f97,org-11,windows,arm64,v2.99.0,broad
dev-c81e45,org-09,macos,amd64,v2.98.0,early
dev-9c76ab,org-07,macos,amd64,v2.98.0,broad
dev-db2249,org-07,windows,amd64,v2.98.0,broad
dev-1afcd8,org-07,macos,amd64,v2.99.0,broad
dev-ecdd2c,org-11,windows,amd64,v2.99.0,canary
dev-8e1477,org-08,macos,arm64,v2.98.0,broad
dev-0e29f8,org-12,macos,arm64,v2.97.0,broad
dev-79aff4,org-05,macos,amd64,v2.99.0,canary
dev-751ffa,org-05,macos,amd64,v2.100.0,broad
dev-aaf9d0,org-12,macos,arm64,v2.95.0,broad
dev-3ee663,org-12,windows,amd64,v2.99.0,broad
dev-2fe3c1,org-03,macos,arm64,v2.96.0,broad
dev-2de5d9,org-12,macos,amd64,v2.97.0,canary
dev-90dd54,org-05,macos,amd64,v2.99.0,early
dev-2ee9b3,org-04,macos,arm64,v2.99.0,broad
dev-c22c4e,org-08,macos,arm64,v2.95.0,early
dev-1c8a5d,org-01,windows,arm64,v2.98.0,early
dev-6792d2,org-02,windows,amd64,v2.99.0,early
dev-26d623,org-07,macos,amd64,v2.95.0,early
dev-e2092b,org-03,macos,arm64,v2.98.0,broad
dev-547641,org-12,macos,arm64,v2.98.0,early
dev-7e463b,org-11,macos,arm64,v2.99.0,broad
dev-e97ab5,org-05,linux,armv6,v2.98.0,early
dev-ed9425,org-02,macos,arm64,v2.98.0,broad
dev-cecd06,org-07,macos,arm64,v2.99.0,broad
dev-cd8191,org-04,macos,arm64,v2.97.0,broad
dev-5880ad,org-08,macos,amd64,v2.98.0,broad
dev-5defb6,org-09,macos,amd64,v2.99.0,broad
dev-34ebd5,org-07,macos,arm64,v2.99.0,broad
dev-56cbee,org-09,macos,arm64,v2.96.0,early
dev-a2b8e2,org-03,macos,arm64,v2.98.0,broad
dev-10962e,org-10,windows,amd64,v2.96.0,early
dev-fb6fe9,org-10,windows,amd64,v2.94.0,broad
dev-dae9b7,org-03,linux,amd64,v2.96.0,early
dev-c4421c,org-05,macos,arm64,v2.98.0,broad
dev-4d2f46,org-02,macos,arm64,v2.99.0,broad
dev-398036,org-09,macos,arm64,v2.98.0,broad
dev-7b6508,org-05,macos,arm64,v2.95.0,early
dev-45c75e,org-05,windows,amd64,v2.98.0,broad
dev-94ea87,org-04,windows,amd64,v2.99.0,canary
dev-7bef48,org-02,macos,arm64,v2.99.0,early
dev-20bf6c,org-07,linux,amd64,v2.95.0,broad
dev-faf02f,org-07,windows,amd64,v2.100.0,canary
dev-7ce5ee,org-07,macos,arm64,v2.98.0,broad
dev-7b1068,org-11,macos,amd64,v2.98.0,broad
dev-207fd3,org-11,windows,amd64,v2.99.0,broad
dev-ab830a,org-12,windows,amd64,v2.98.0,early
dev-449258,org-11,windows,amd64,v2.99.0,early
dev-a36b99,org-02,macos,arm64,v2.99.0,early
dev-d2615a,org-11,macos,arm64,v2.97.0,early
dev-9e0bd9,org-10,windows,amd64,v2.98.0,early
dev-8d8919,org-08,macos,arm64,v2.94.0,broad
